year,birth.year,v,age,length,GSI,area,period
1984,1981,11,3,137,15.28384279,BT,early
1984,1981,11,3,135,16.74641148,BT,early
1984,1981,11,3,135,18.95734597,BT,early
1984,1981,11,3,127,16.27906977,BT,early
1984,1980,11,4,180,19.87075929,BT,early
1984,1980,11,4,187,22.74052478,BT,early
1984,1981,11,3,142,18.54545455,BT,early
1984,1981,11,3,157,18.96551724,BT,early
1984,1981,11,3,130,19.07216495,BT,early
1984,1981,11,3,132,15.84699454,BT,early
1984,1981,11,3,134,23.21428571,BT,early
1984,1981,11,3,125,17.85714286,BT,early
1984,1980,12,4,170,20.34632035,BT,early
1984,1980,12,4,174,17.50547046,BT,early
1984,1980,12,4,160,16.85082873,BT,early
1984,1980,12,4,155,18.48484848,BT,early
1984,1981,12,3,144,15.87301587,BT,early
1984,1981,12,3,136,20.64220183,BT,early
1984,1981,12,3,125,19.35483871,BT,early
1984,1981,12,3,130,18.22916667,BT,early
1984,1981,12,3,122,22.01257862,BT,early
1984,1980,15,4,195,25.19685039,BT,early
1984,1981,15,3,181,16.7192429,BT,early
1984,1981,15,3,184,22.01550388,BT,early
1984,1980,15,4,150,10.66176471,BT,early
1984,1981,15,3,135,18.37606838,BT,early
1984,1981,15,3,137,12.83018868,BT,early
1984,1982,15,2,112,21.21212121,BT,early
1984,1980,17,4,217,20.92638544,BT,early
1984,1980,20,4,192,18.99038462,BT,early
1984,1980,20,4,221,19.34996221,BT,early
1984,1980,20,4,199,11.11111111,BT,early
1984,1980,21,4,190,20.34883721,BT,early
1985,1983,10,2,134,14.12429379,BT,early
1985,1982,10,3,142,19.09090909,BT,early
1985,1982,10,3,141,15.96638655,BT,early
1985,1983,10,2,126,17.10526316,BT,early
1985,1982,11,3,145,14.71861472,BT,early
1985,1982,12,3,140,17.45283019,BT,early
1985,1981,12,4,185,16.27056673,BT,early
1985,1980,12,5,197,16.41168289,BT,early
1985,1982,13,3,148,13.30645161,BT,early
1985,1982,13,3,168,24.70862471,BT,early
1985,1983,17,2,123,24.8447205,BT,early
1985,1980,17,5,225,11.43617021,BT,early
1985,1980,17,5,221,11.47695202,BT,early
1985,1981,17,4,174,13.31592689,BT,early
1985,1981,17,4,163,20.1754386,BT,early
1985,1982,17,3,160,11.2244898,BT,early
1985,1982,17,3,147,16.54411765,BT,early
1985,1981,17,4,168,20.22988506,BT,early
1985,1980,17,5,200,20.88024565,BT,early
1985,1982,17,3,138,20.57416268,BT,early
1985,1981,17,4,168,26.28336756,BT,early
1985,1982,18,3,142,13.52459016,BT,early
1985,1981,18,4,159,20.05208333,BT,early
1985,1981,18,4,179,25.08591065,BT,early
1985,1982,18,3,159,20.4610951,BT,early
1985,1982,19,3,174,22.79693487,BT,early
1985,1980,19,5,269,17.36938588,BT,early
1985,1980,20,5,210,13.15789474,BT,early
1985,1981,20,4,201,20.0408998,BT,early
1985,1981,20,4,215,21.08731466,BT,early
1985,1981,21,4,190,16.84931507,BT,early
1985,1981,21,4,198,17.57322176,BT,early
1985,1980,21,5,205,25.69444444,BT,early
1985,1980,21,5,209,24.35325602,BT,early
1985,1981,21,4,184,19.1011236,BT,early
1985,1983,22,2,188,24.84993998,BT,early
1985,1981,22,4,187,22.23796034,BT,early
1985,1982,22,3,147,12.44813278,BT,early
1985,1981,22,4,204,20.53838485,BT,early
1985,1981,22,4,201,21.18834081,BT,early
1985,1981,22,4,204,18.19105691,BT,early
1985,1981,23,4,187,22.95988935,BT,early
1985,1980,23,5,223,21.92429022,BT,early
1985,1981,23,4,206,21.45045965,BT,early
1985,1980,23,5,204,24.44658325,BT,early
1985,1980,25,5,185,24.90013316,BT,early
1985,1980,25,5,189,26.10966057,BT,early
1986,1983,16,3,182,23.1746,BT,early
1986,1984,16,2,141,22.75641,BT,early
1986,1983,16,3,182,20.96774,BT,early
1986,1981,16,5,195,21.68525,BT,early
1986,1984,16,2,167,18.12367,BT,early
1986,1983,16,3,158,16.81416,BT,early
1987,1983,15,4,232,22.79294,BT,early
1987,1983,15,4,189,23.93293,BT,early
1987,1983,15,4,228,20.58824,BT,early
1987,1984,15,3,205,23.88889,BT,early
1987,1984,15,3,197,23.30508,BT,early
1987,1984,15,3,181,21.8241,BT,early
1987,1984,15,3,181,20.37736,BT,early
1987,1983,15,4,258,21.55361,BT,early
1987,1983,15,4,191,23.2493,BT,early
1987,1984,15,3,193,22.46377,BT,early
1987,1983,15,4,200,20.33661,BT,early
1987,1984,17,3,190,23.49486,BT,early
1987,1983,17,4,209,26.82709,BT,early
1987,1984,17,3,184,26.30769,BT,early
1987,1983,17,4,207,11.77249,BT,early
1987,1983,17,4,192,18.54839,BT,early
1987,1984,17,3,189,21.6885,BT,early
